"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","There's an easy way to prevent school shootings that nobody's talking about... https://t.co/fdOtdSmktR #SchoolShooting",FALSE,0,NA,2018-04-08 15:21:02,FALSE,NA,"983001779335041024",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","IndianTaker",1,FALSE,FALSE,NA,NA
"2","How #USA handles gun issues:

1. A horrible #SchoolShooting occurs
2. President decries the act, sends prayers
3.… https://t.co/zZnP8SmZOr",FALSE,1,NA,2018-04-08 15:18:06,TRUE,NA,"983001041053671425",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DariusMacSean",1,FALSE,FALSE,NA,NA
"3","@amjoyshow @AalayahEastmond That well regulated Militia

#AMJoy #SchoolShooting #schoolwalkout #EauClaireWI https://t.co/XX8JqLEEfj",FALSE,0,"amjoyshow",2018-04-08 15:13:43,FALSE,"982997345976684544","982999940921286656","731132367058968576","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RedRoadRail",0,FALSE,FALSE,NA,NA
"4","Ok in my school there was a fake shooting threat! I am so tired of these bad people! Is there any good people left… https://t.co/uvcSkSJEhY",FALSE,0,NA,2018-04-08 14:50:23,TRUE,NA,"982994068040028162",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","VGruncheva",0,FALSE,FALSE,NA,NA
"5","Love thy neighbor: Summit Church of Lincoln, Neb., is donating Barracuda security locks to all 300 classrooms in th… https://t.co/aGvqJ9cWBF",FALSE,0,NA,2018-04-08 12:00:32,TRUE,NA,"982951324252811266",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","safechurchnow",0,FALSE,FALSE,NA,NA
"6","What does everyone think of this statement? #extremists #malerage #schoolshooting #gunviolence https://t.co/3V6KUI1CEQ",FALSE,0,NA,2018-04-08 11:54:36,FALSE,NA,"982949830518599680",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","peaceforall__",0,FALSE,FALSE,NA,NA
"7","LETTER TO THE EDITOR: It's still on you https://t.co/68iKrty4JX #guncontrol #guns #massshooting #schoolshooting",FALSE,0,NA,2018-04-08 11:10:08,FALSE,NA,"982938641533161472",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","nwfdailynews",0,FALSE,FALSE,NA,NA
"8","Love thy neighbor: Summit Church of Lincoln, Neb., is donating Barracuda security locks to all 300 classrooms in th… https://t.co/UdnsPakeci",FALSE,3,NA,2018-04-08 11:10:04,TRUE,NA,"982938624579768322",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","TeamStrategos",0,FALSE,FALSE,NA,NA
"9","#AnthonyBorges #Parkland #SchoolShooting #GunControl #NoMore

My guess is Anthony Borges won’t be invited to speak… https://t.co/VYmT5DW3FZ",FALSE,0,NA,2018-04-08 08:04:57,TRUE,NA,"982892038281678848",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","PatriotJournal",1,FALSE,FALSE,NA,NA
"10","WARNING: FLASH
#NRABoycott #NRABloodMoney #BanAssaultWeapons #BanAssaultRifles #NeverAgain #GunControlNow… https://t.co/cssGN6tCIE",FALSE,1,NA,2018-04-08 07:28:14,TRUE,NA,"982882796325646337",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","kkjn1966",3,FALSE,FALSE,NA,NA
