"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","New England Patriots' #JulianEdelman may have foiled #SchoolShooting spree https://t.co/dhCwkRcMKF https://t.co/RVq04unTNg",FALSE,0,NA,2018-04-06 01:45:00,FALSE,NA,"982071643056074752",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","SputnikNewsUS",0,FALSE,FALSE,NA,NA
"2","Bullying is real. When one person commits suicide, we take notice. When it's in the context of a #schoolshooting, a… https://t.co/uUb5mtxBb5",FALSE,0,NA,2018-04-06 00:08:52,TRUE,NA,"982047451631816704",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","HiRezLife",0,FALSE,FALSE,NA,NA
"3","#schoolshooting If Nikolas Cruz thought He was being bullied in High School, Just Wait until He's on Death Row in State Prison",FALSE,0,NA,2018-04-05 23:33:16,FALSE,NA,"982038489997824000",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","davidramic",0,FALSE,FALSE,NA,NA
"4","#StudentsStandUp #GunControl #ParklandStudents #schoolshooting #gunsense #BanAssaultWeapons #MomsDemandAction… https://t.co/VOYhLLPtqA",FALSE,0,"Shivohm",2018-04-05 23:09:36,TRUE,"982032533385756672","982032535835197440","46493847","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Shivohm",0,FALSE,FALSE,NA,NA
"5","#ParklandShooting #BrowardSheriff #BrowardCoward #BrowardCounty #SchoolShooting #ScottIsreal #StonemanDouglasHS… https://t.co/zebIiTS9HC",FALSE,0,NA,2018-04-05 23:05:35,TRUE,NA,"982031527042211840",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MonaMarie777",0,FALSE,FALSE,NA,NA
"6","@IngrahamAngle needed a teenager to remind her belittling a #schoolshooting survivor is bad. Welcome back to reality, Laura. #theBeat",FALSE,1,"IngrahamAngle",2018-04-05 22:51:13,FALSE,NA,"982027908926537730","50769180","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","UltramanBG",0,FALSE,FALSE,NA,NA
"7","#StudentsStandUp #GunControl #ParklandStudents #schoolshooting #gunsense #BanAssaultWeapons #MomsDemandAction… https://t.co/xiq5q7yeGv",FALSE,0,"Shivohm",2018-04-05 22:32:37,TRUE,"982023224694222848","982023226963329024","46493847","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Shivohm",0,FALSE,FALSE,NA,NA
"8","New England Patriots' #JulianEdelman may have foiled #SchoolShooting spree https://t.co/mzUfW1nWhQ https://t.co/485Wk92xq1",FALSE,7,NA,2018-04-05 22:30:54,FALSE,NA,"982022797768777729",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","SputnikInt",4,FALSE,FALSE,NA,NA
"9","#Holocaust began with disarming the Jews. #DavidHogg #SchoolShooting #ParklandShooting

https://t.co/lXT2wMT1qi

https://t.co/8hBjF6lbuT",FALSE,0,NA,2018-04-05 22:21:46,FALSE,NA,"982020500233867264",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","mntirado",0,FALSE,FALSE,NA,NA
"10","New England Patriots' #JulianEdelman may have foiled #SchoolShooting spree https://t.co/dhCwkRcMKF https://t.co/kM8NhCWX0f",FALSE,0,NA,2018-04-05 21:45:00,FALSE,NA,"982011245246152704",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","SputnikNewsUS",0,FALSE,FALSE,NA,NA
"11","Can anyone explain this? #Parkland #SchoolShooting #WasHethere? #2ndAmendment #2ndAmendmentRights
https://t.co/32VLWoIUlk",FALSE,0,NA,2018-04-05 21:04:56,FALSE,NA,"982001164324663296",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Itsfitts",0,FALSE,FALSE,NA,NA
"12","#CA01 #CA04 #CA08 #CA10 #CA14 #CA21 #CA22 #CA23 #CA25 #CA35 #CA39 #CA42 #CA45 #CA48 #CA49 #CA50 #StudentsStandUp… https://t.co/r4q4N3WRDN",FALSE,0,"Shivohm",2018-04-05 21:01:27,TRUE,"982000281352224768","982000284221095937","46493847","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Shivohm",0,FALSE,FALSE,NA,NA
"13","#Patriots’ Julian Edelman Helped Stop a Possible School Shooting - https://t.co/HMqE7rSHeg

#Boston #JulianEdelman… https://t.co/l5gDs60OkP",FALSE,1,NA,2018-04-05 20:52:40,TRUE,NA,"981998077161738240",NA,"<a href=""http://jewishbreakingnews.com"" rel=""nofollow"">Jewish Breaking News</a>","JBN",0,FALSE,FALSE,NA,NA
"14","#StudentsStandUp #GunControl #ParklandStudents #schoolshooting #gunsense #BanAssaultWeapons #MomsDemandAction… https://t.co/qULukIS11v",FALSE,0,"Shivohm",2018-04-05 20:41:56,TRUE,"981995373123092480","981995374905671680","46493847","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Shivohm",1,FALSE,FALSE,NA,NA
"15","Kalani High School Administration became aware of a shooting threat yesterday afternoon. The principal wrote a lett… https://t.co/wLAQLnK4x9",FALSE,1,NA,2018-04-05 20:08:37,TRUE,NA,"981986989854650373",NA,"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","KalaniLeo",0,FALSE,FALSE,NA,NA
"16","#thwarted #schoolshooting https://t.co/1kZ29MRgp6",FALSE,0,NA,2018-04-05 20:07:43,FALSE,NA,"981986763563524098",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","edieangelo",0,FALSE,FALSE,NA,NA
"17","#BlastsFromThePast: #Erfurt, Germany 2002-04-26, 10:58. Allegedly, a #SchoolShooting started in which 19yo Robert S… https://t.co/v3E4ZLl7i5",FALSE,2,NA,2018-04-05 19:35:09,TRUE,NA,"981978566731714561",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","GrandeFormaggio",1,FALSE,FALSE,NA,NA
"18","POP POP bullets wiz.. Ping Ping off the pole... Soles pap pap pap against the floor... 1 last POP... QUIET... Souls… https://t.co/UL7cWtXVos",FALSE,0,NA,2018-04-05 19:16:21,TRUE,NA,"981973837519773697",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","HaikuM",0,FALSE,FALSE,NA,NA
"19","When something horrible happens, like a #schoolshooting, parents want to do something. Political and social reforms… https://t.co/oEhMaWLZZC",FALSE,0,NA,2018-04-05 19:14:10,TRUE,NA,"981973289173180416",NA,"<a href=""https://www.socialjukebox.com"" rel=""nofollow"">The Social Jukebox</a>","MilsoDiva",0,FALSE,FALSE,NA,NA
"20","In this day and age, we're thankful for false alarms. A Florida teacher accidentally ""pocket dialed"" her active sho… https://t.co/hwe23EbDrb",FALSE,1,NA,2018-04-05 19:10:39,TRUE,NA,"981972401297809410",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","TeamStrategos",2,FALSE,FALSE,NA,NA
"21","#StudentsStandUp #GunControl #ParklandStudents #schoolshooting #gunsense #BanAssaultWeapons #MomsDemandAction… https://t.co/ccxPNI8fCA",FALSE,1,"Shivohm",2018-04-05 19:08:04,TRUE,"981971750521942016","981971752182923266","46493847","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Shivohm",0,FALSE,FALSE,NA,NA
"22","Put the Gluten back in these kids school food. Maybe that will stop the mass school shootings. This never happened… https://t.co/XFlP0ofgfx",FALSE,10,NA,2018-04-05 18:53:46,TRUE,NA,"981968154367811584",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MarioTory",4,FALSE,FALSE,NA,NA
"23","#schoolshooting #schoolshootingprevention https://t.co/GSzNttS5aS",FALSE,0,NA,2018-04-05 18:32:56,FALSE,NA,"981962908635684864",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","injectsunflower",0,FALSE,FALSE,NA,NA
"24","3) From 2015: How Many Other States?? #SchoolShooting
https://t.co/xgWnkNWYwd",FALSE,0,"MNF_Miracle",2018-04-05 17:24:02,FALSE,"981945313052131328","981945569810628609","846408660","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","MNF_Miracle",0,FALSE,FALSE,NA,NA
"25","1) This is so much BULLSH*T!
State Laws REQUIRING participation in scary/realistic #SchoolShooting Drills
9 min vid… https://t.co/45NVs4u1KX",FALSE,4,NA,2018-04-05 17:21:25,TRUE,NA,"981944914496765952",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","MNF_Miracle",5,FALSE,FALSE,NA,NA
"26","Let's keep those guns available for purchase at the local store and blame the video game industry for mass shooting… https://t.co/qR3WwaPslh",FALSE,0,NA,2018-04-05 17:01:05,TRUE,NA,"981939795935903746",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","felixrad20",0,FALSE,FALSE,NA,NA
